  PID TTY           TIME CMD
 3906 ??         0:00.67 /Developer/Platforms/iPhoneSimulator.platform/Developer/Library/Xcode/Agents/Interface Builder Cocoa Touch Tool --portName E6E97AE5-5221-40D8-B146-260A23DFCBB5
 4300 ??         0:17.10 /Applications/Utilities/Terminal.app/Contents/MacOS/Terminal -psn_0_594065
 4435 ??         0:00.00 (clang)
 7303 ??         0:38.81 /Applications/Skype.app/Contents/MacOS/Skype -psn_0_848079
 7433 ??         0:53.05 /Applications/iCal.app/Contents/MacOS/iCal -psn_0_876758
 8944 ??         1:29.92 /Applications/iTunes.app/Contents/MacOS/iTunes -psn_0_1007862
 8948 ??         0:00.19 /Applications/iTunes.app/Contents/MacOS/iTunesHelper.app/Contents/MacOS/iTunesHelper -psn_0_1016056
 8949 ??         0:00.52 /System/Library/PrivateFrameworks/ApplePushService.framework/applepushserviced
 9289 ??        10:07.84 /Applications/OmniGraffle Professional 5.app/Contents/MacOS/OmniGraffle Professional -psn_0_1052929
10252 ??         0:17.21 /Applications/Cisco/Cisco AnyConnect VPN Client.app/Contents/MacOS/Cisco AnyConnect VPN Client -psn_0_1143063
10286 ??         0:00.16 /usr/bin/ssh-agent -l
10605 ??         0:36.27 /Applications/Evernote.app/Contents/MacOS/Evernote -psn_0_1196324
11179 ??        11:30.25 /System/Library/PrivateFrameworks/WebKit2.framework/WebProcess.app/Contents/MacOS/WebProcess /System/Library/PrivateFrameworks/WebKit2.framework/WebKit2 -type webprocess -servicename com.apple.WebKit.WebProcess-3000-0x11d175b68 -localization en_US
11523 ??         0:09.73 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker MDSImporterWorker com.apple.Spotlight.ImporterWorker.501
14424 ??         0:00.45 /System/Library/Frameworks/QuickLook.framework/Resources/quicklookd.app/Contents/MacOS/quicklookd
14566 ??         0:00.02 /System/Library/Frameworks/PubSub.framework/Versions/A/Resources/PubSubAgent.app/Contents/MacOS/PubSubAgent
13604 ttys003    0:00.27 login -pf kukulski
13605 ttys003    0:00.04 -bash
13669 ttys003    0:00.15 emacs to_file.rb
14050 ttys003    0:00.10 emacs 4group
10483 ttys004    0:00.05 login -pf kukulski
10484 ttys004    0:00.10 -bash
14567 ttys004    0:00.00 ps -ax
